temperature,vibration,pressure
9.517114200223197873e-01,6.966966075026606031e-01,5.023041190476893458e-01
5.172099384038120196e-01,1.022042871257740959e+00,9.515293272367859878e-02
6.041172908750762627e-01,7.873094445540301800e-01,7.561120097930801309e-01
8.642904272798299647e-01,9.373163521409912935e-01,5.979078627139502444e-01
9.587718380009551122e-01,4.437843764456742557e-01,1.987467843893171160e-01
8.199714901932142475e-01,6.098502024031788871e-01,2.850308524764378904e-01
8.513914540240870021e-01,4.100177056552193333e-01,1.450411696593486011e-01
2.566402418122970541e-01,1.025890504658445668e+00,6.624919011768855004e-01
5.500760393594138487e-01,4.127616778450026169e-01,4.202324514444941150e-01
8.849340338410156548e-01,1.051109818757024916e+00,7.311913026353865641e-01
